time,event_type,decoded_spatial_context,spatial_context_confidence,decoded_movement_state,movement_state_confidence,true_spatial_context,true_movement_state,correct_trigger
422.6250000000004,context_wall,corner,0.8675323473343294,still,1.0,wall,still,True
422.6500000000004,context_wall,corner,0.881893635346635,still,1.0,wall,still,True
422.67500000000035,context_wall,corner,0.8497958880419919,still,1.0,wall,still,True
422.7000000000004,context_wall,corner,0.8576733760252466,still,1.0,wall,still,True
422.72500000000036,context_wall,corner,0.8351323749612836,still,1.0,wall,still,True
422.7750000000004,context_wall,corner,0.8323829139597563,still,1.0,wall,still,True
422.80000000000035,context_wall,corner,0.8382112332697098,still,1.0,wall,still,True
422.8250000000004,context_wall,corner,0.8714044403773643,still,1.0,wall,still,True
422.85000000000036,context_wall,corner,0.8812471702398565,still,1.0,wall,still,True
422.8750000000004,context_wall,corner,0.8508317059884923,still,1.0,wall,still,True
422.9000000000004,context_wall,corner,0.8282011294703757,still,1.0,wall,still,True
422.92500000000035,context_wall,corner,0.8180212955601459,still,1.0,wall,still,True
423.1250000000004,context_wall,corner,0.8039788998110085,still,1.0,wall,still,True
423.2000000000004,context_wall,corner,0.8703742453565927,still,1.0,wall,still,True
423.22500000000036,context_wall,corner,0.8715958509738759,still,1.0,wall,still,True
423.2500000000004,context_wall,corner,0.8578987312334391,still,1.0,wall,still,True
423.2750000000004,context_wall,corner,0.8914959457162035,still,1.0,wall,still,True
423.30000000000035,context_wall,corner,0.8504733421220797,still,1.0,wall,still,True
423.3250000000004,context_wall,corner,0.8561338122590151,still,1.0,wall,still,True
