spike_source,source,feature_type,decode_window_s,update_dt_s,n_units,target_name,target_family,decoder_name,n_train_samples,n_test_samples,mean_position_error_cm,median_position_error_cm,p90_position_error_cm,r2_x,r2_y,r2,correlation,mae,rmse,mean_circular_error_deg,median_circular_error_deg,p90_circular_error_deg,mae_cm,rmse_cm,accuracy,balanced_accuracy,macro_f1,confusion_matrix,class_labels
sorted,sorted,counts,0.05,0.025,200,head_direction,continuous,ridge,16799,7200,,,,,,,,,,26.291288913822065,20.069117897006674,55.40839299819982,,,,,,,
sorted,sorted,counts,0.05,0.025,200,head_direction,continuous,pca_ridge,16799,7200,,,,,,,,,,26.313950830243698,19.877600170459647,55.57114341111227,,,,,,,
sorted,sorted,counts,0.05,0.025,200,head_direction,continuous,random_forest_regressor,16799,7200,,,,,,,,,,31.54933112936863,23.111428681163183,69.1257782876555,,,,,,,
sorted,sorted,counts,0.05,0.025,200,distance_to_wall,continuous,ridge,16799,7200,,,,,,0.39583562479676326,0.6584946126674467,,,,,,6.058903637627514,7.657926366741775,,,,,
sorted,sorted,counts,0.05,0.025,200,distance_to_wall,continuous,pca_ridge,16799,7200,,,,,,0.39629677174643185,0.6588262312620631,,,,,,6.059051025728695,7.655003235508816,,,,,
sorted,sorted,counts,0.05,0.025,200,distance_to_wall,continuous,random_forest_regressor,16799,7200,,,,,,0.4286155886161719,0.6640587800191672,,,,,,5.352060963250988,7.447282413622683,,,,,
sorted,sorted,counts,0.05,0.025,200,distance_to_wall,continuous,bayesian_place_decoder,16799,7200,,,,,,0.3288523031589874,0.6857640840717605,,,,,,5.246619449129155,8.07128497952785,,,,,
sorted,sorted,counts,0.05,0.025,200,spatial_context,categorical,logistic_regression,16799,7200,,,,,,,,,,,,,,,0.6331944444444444,0.6391701705768392,0.6299025541184984,"[[978, 79, 277], [217, 2453, 1040], [272, 756, 1128]]","['center', 'corner', 'wall']"
sorted,sorted,counts,0.05,0.025,200,spatial_context,categorical,random_forest_classifier,16799,7200,,,,,,,,,,,,,,,0.6348611111111111,0.6251030801328429,0.604979744635811,"[[1008, 133, 193], [335, 2743, 632], [409, 927, 820]]","['center', 'corner', 'wall']"
sorted,sorted,counts,0.05,0.025,200,spatial_context,categorical,bayesian_place_decoder_derived_context,16799,7200,,,,,,,,,,,,,,,0.6708333333333333,0.6397099897560583,0.6412439994998756,"[[862, 241, 231], [258, 1047, 851], [222, 567, 2921]]","['center', 'wall', 'corner']"
