unit_id,cell_type,region,layer,channel,depth_um,place_x_cm,place_y_cm,hd_pref_rad,rate_model,ratinabox_class,subfield,cell_class,deep_superficial_coordinate,deep_superficial_group,proximodistal_coordinate,dorsoventral_coordinate,baseline_rate_hz,burst_index,waveform_width_ms,theta_modulation_strength,ripple_participation_probability,spatial_tuning_strength,head_direction_tuning_strength,speed_tuning_strength,boundary_tuning_strength,proximodistal_group,dorsoventral_group,projection_target,metadata_schema_version
41,CA1_pyr,CA1,pyramidal,23,440.0,14.780995550051037,64.38801221563554,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
42,CA1_pyr,CA1,pyramidal,2,20.0,32.07589166727669,74.02709721766384,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
43,CA1_pyr,CA1,pyramidal,9,160.0,41.52039613337208,69.10350896667991,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
44,CA1_pyr,CA1,pyramidal,15,280.0,60.29153813468096,67.29335562650785,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
45,CA1_pyr,CA1,pyramidal,15,280.0,67.54590363665444,67.82994785341364,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
46,CA1_pyr,CA1,pyramidal,4,60.0,83.3123524158999,70.44208929168241,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
47,CA1_pyr,CA1,pyramidal,30,580.0,92.98911340959802,71.65327029403093,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
48,CA1_pyr,CA1,pyramidal,23,440.0,6.009185307560214,85.97990252395067,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
49,CA1_pyr,CA1,pyramidal,29,560.0,18.465936171471547,84.64812533419376,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
50,CA1_pyr,CA1,pyramidal,3,40.0,30.21164671043337,81.26233383609853,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
