unit_id,cell_type,region,layer,channel,depth_um,place_x_cm,place_y_cm,hd_pref_rad,rate_model,ratinabox_class
69,CA1_pyr,CA1,pyramidal,19,360.0,43.89412794526281,16.022830438097092,0.0,ratinabox_PlaceCells,PlaceCells
70,CA1_pyr,CA1,pyramidal,24,460.0,80.11121882480417,0.41992344679150573,0.0,ratinabox_PlaceCells,PlaceCells
71,CA1_pyr,CA1,pyramidal,28,540.0,11.235039679955316,83.44896094596386,0.0,ratinabox_PlaceCells,PlaceCells
72,CA1_pyr,CA1,pyramidal,13,240.0,75.734622188861,26.237939716071125,0.0,ratinabox_PlaceCells,PlaceCells
73,CA1_pyr,CA1,pyramidal,2,20.0,13.533651228524256,74.6313213360113,0.0,ratinabox_PlaceCells,PlaceCells
74,CA1_pyr,CA1,pyramidal,22,420.0,4.237376555357561,58.874351673639346,0.0,ratinabox_PlaceCells,PlaceCells
75,CA1_pyr,CA1,pyramidal,16,300.0,26.867599596768827,6.207491908433904,0.0,ratinabox_PlaceCells,PlaceCells
76,CA1_pyr,CA1,pyramidal,27,520.0,42.71513884406917,14.483978089188568,0.0,ratinabox_PlaceCells,PlaceCells
77,CA1_pyr,CA1,pyramidal,14,260.0,60.38461492729361,100.11160564880444,0.0,ratinabox_PlaceCells,PlaceCells
78,CA1_pyr,CA1,pyramidal,12,220.0,96.32836774568993,97.59151853837841,0.0,ratinabox_PlaceCells,PlaceCells
79,CA1_pyr,CA1,pyramidal,2,20.0,95.09385997282186,60.023700536317804,0.0,ratinabox_PlaceCells,PlaceCells
80,CA2_pyr,CA2,pyramidal,35,680.0,,,0.0,ratinabox_HeadDirectionCells,HeadDirectionCells
81,CA2_pyr,CA2,pyramidal,37,720.0,,,0.15707963267948966,ratinabox_HeadDirectionCells,HeadDirectionCells
82,CA2_pyr,CA2,pyramidal,38,740.0,,,0.3141592653589793,ratinabox_HeadDirectionCells,HeadDirectionCells
83,CA2_pyr,CA2,pyramidal,39,760.0,,,0.47123889803846897,ratinabox_HeadDirectionCells,HeadDirectionCells
84,CA2_pyr,CA2,pyramidal,33,640.0,,,0.6283185307179586,ratinabox_HeadDirectionCells,HeadDirectionCells
85,CA2_pyr,CA2,pyramidal,36,700.0,,,0.7853981633974483,ratinabox_HeadDirectionCells,HeadDirectionCells
86,CA2_pyr,CA2,pyramidal,39,760.0,,,0.9424777960769379,ratinabox_HeadDirectionCells,HeadDirectionCells
87,CA2_pyr,CA2,pyramidal,33,640.0,,,1.0995574287564276,ratinabox_HeadDirectionCells,HeadDirectionCells
88,CA2_pyr,CA2,pyramidal,34,660.0,,,1.2566370614359172,ratinabox_HeadDirectionCells,HeadDirectionCells
89,CA2_pyr,CA2,pyramidal,39,760.0,,,1.413716694115407,ratinabox_HeadDirectionCells,HeadDirectionCells
90,CA2_pyr,CA2,pyramidal,36,700.0,,,1.5707963267948966,ratinabox_HeadDirectionCells,HeadDirectionCells
91,CA2_pyr,CA2,pyramidal,36,700.0,,,1.7278759594743862,ratinabox_HeadDirectionCells,HeadDirectionCells
92,CA2_pyr,CA2,pyramidal,37,720.0,,,1.8849555921538759,ratinabox_HeadDirectionCells,HeadDirectionCells
93,CA2_pyr,CA2,pyramidal,36,700.0,,,2.0420352248333655,ratinabox_HeadDirectionCells,HeadDirectionCells
94,CA2_pyr,CA2,pyramidal,40,780.0,,,2.199114857512855,ratinabox_HeadDirectionCells,HeadDirectionCells
95,CA2_pyr,CA2,pyramidal,38,740.0,,,2.356194490192345,ratinabox_HeadDirectionCells,HeadDirectionCells
96,CA2_pyr,CA2,pyramidal,31,600.0,,,2.5132741228718345,ratinabox_HeadDirectionCells,HeadDirectionCells
97,CA2_pyr,CA2,pyramidal,32,620.0,,,2.670353755551324,ratinabox_HeadDirectionCells,HeadDirectionCells
98,CA2_pyr,CA2,pyramidal,36,700.0,,,2.827433388230814,ratinabox_HeadDirectionCells,HeadDirectionCells
99,CA2_pyr,CA2,pyramidal,39,760.0,,,2.9845130209103035,ratinabox_HeadDirectionCells,HeadDirectionCells
100,CA2_pyr,CA2,pyramidal,31,600.0,,,3.141592653589793,ratinabox_HeadDirectionCells,HeadDirectionCells
101,CA2_pyr,CA2,pyramidal,37,720.0,,,3.2986722862692828,ratinabox_HeadDirectionCells,HeadDirectionCells
102,CA2_pyr,CA2,pyramidal,38,740.0,,,3.4557519189487724,ratinabox_HeadDirectionCells,HeadDirectionCells
103,CA2_pyr,CA2,pyramidal,38,740.0,,,3.612831551628262,ratinabox_HeadDirectionCells,HeadDirectionCells
104,CA2_pyr,CA2,pyramidal,39,760.0,,,3.7699111843077517,ratinabox_HeadDirectionCells,HeadDirectionCells
105,CA2_pyr,CA2,pyramidal,32,620.0,,,3.9269908169872414,ratinabox_HeadDirectionCells,HeadDirectionCells
106,CA2_pyr,CA2,pyramidal,36,700.0,,,4.084070449666731,ratinabox_HeadDirectionCells,HeadDirectionCells
107,CA2_pyr,CA2,pyramidal,39,760.0,,,4.241150082346221,ratinabox_HeadDirectionCells,HeadDirectionCells
108,CA2_pyr,CA2,pyramidal,34,660.0,,,4.39822971502571,ratinabox_HeadDirectionCells,HeadDirectionCells
109,CA2_pyr,CA2,pyramidal,32,620.0,,,4.5553093477052,ratinabox_HeadDirectionCells,HeadDirectionCells
110,CA2_pyr,CA2,pyramidal,35,680.0,,,4.71238898038469,ratinabox_HeadDirectionCells,HeadDirectionCells
111,CA2_pyr,CA2,pyramidal,31,600.0,,,4.869468613064179,ratinabox_HeadDirectionCells,HeadDirectionCells
112,CA2_pyr,CA2,pyramidal,33,640.0,,,5.026548245743669,ratinabox_HeadDirectionCells,HeadDirectionCells
113,CA2_pyr,CA2,pyramidal,39,760.0,,,5.183627878423159,ratinabox_HeadDirectionCells,HeadDirectionCells
114,CA2_pyr,CA2,pyramidal,37,720.0,,,5.340707511102648,ratinabox_HeadDirectionCells,HeadDirectionCells
115,CA2_pyr,CA2,pyramidal,39,760.0,,,5.497787143782138,ratinabox_HeadDirectionCells,HeadDirectionCells
116,CA2_pyr,CA2,pyramidal,39,760.0,,,5.654866776461628,ratinabox_HeadDirectionCells,HeadDirectionCells
117,CA2_pyr,CA2,pyramidal,39,760.0,,,5.811946409141117,ratinabox_HeadDirectionCells,HeadDirectionCells
118,CA2_pyr,CA2,pyramidal,34,660.0,,,5.969026041820607,ratinabox_HeadDirectionCells,HeadDirectionCells
119,CA2_pyr,CA2,pyramidal,35,680.0,,,6.126105674500097,ratinabox_HeadDirectionCells,HeadDirectionCells
120,CA3_pyr,CA3,pyramidal,59,1160.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
121,CA3_pyr,CA3,pyramidal,49,960.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
