spike_source,feature_type,decode_window_s,update_dt_s,n_units,target_name,decoder_name,n_train_samples,n_test_samples,mean_position_error_cm,median_position_error_cm,p90_position_error_cm,r2_x,r2_y,r2,correlation,mae,rmse,mean_circular_error_deg,median_circular_error_deg,p90_circular_error_deg,mae_cm,rmse_cm,accuracy,balanced_accuracy,macro_f1,confusion_matrix,class_labels
sorted,counts,0.1,0.025,200,distance_to_wall,random_forest_regressor,16798,7199,,,,,,0.6293916087624976,0.7942360353348659,,,,,,4.164780604693141,5.998202182982303,,,,,
sorted,counts,0.1,0.025,200,spatial_context,logistic_regression,16798,7199,,,,,,,,,,,,,,,0.7125989720794554,0.7172095914632036,0.714665896680931,"[[1068, 44, 222], [130, 2745, 835], [139, 699, 1317]]","['center', 'corner', 'wall']"
sorted,counts,0.1,0.025,200,spatial_context,random_forest_classifier,16798,7199,,,,,,,,,,,,,,,0.7313515766078622,0.7144440750150437,0.7119856869872451,"[[1060, 106, 168], [165, 3098, 447], [210, 838, 1107]]","['center', 'corner', 'wall']"
sorted,counts,0.1,0.025,200,movement_state,logistic_regression,16798,7199,,,,,,,,,,,,,,,0.64133907487151,0.5850877298199473,0.5281090103099325,"[[2331, 655, 49], [1083, 2159, 626], [9, 160, 127]]","['fast', 'slow', 'still']"
sorted,counts,0.1,0.025,200,movement_state,random_forest_classifier,16798,7199,,,,,,,,,,,,,,,0.6618974857619114,0.5477130593126923,0.5274060142741802,"[[2410, 608, 17], [1239, 2278, 351], [8, 211, 77]]","['fast', 'slow', 'still']"
sorted,counts,0.1,0.025,200,wall_distance_bin,logistic_regression,16798,7199,,,,,,,,,,,,,,,0.8009445756355049,0.7634996904492765,0.715438424055073,"[[303, 84, 3], [231, 1185, 378], [34, 703, 4278]]","['center', 'middle', 'near_wall']"
sorted,counts,0.1,0.025,200,wall_distance_bin,random_forest_classifier,16798,7199,,,,,,,,,,,,,,,0.7934435338241422,0.7351947131478104,0.6943406197507684,"[[321, 64, 5], [245, 859, 690], [20, 463, 4532]]","['center', 'middle', 'near_wall']"
sorted,counts,0.25,0.025,200,position,ridge,16793,7198,13.965908207841913,12.182740170971002,25.793548053104992,0.8718296663079425,0.8829917251828013,,,,,,,,,,,,,,
sorted,counts,0.25,0.025,200,position,random_forest_regressor,16793,7198,14.09949039126026,9.884999552560634,29.374887099409445,0.8192238885555228,0.8229224282378029,,,,,,,,,,,,,,
sorted,counts,0.25,0.025,200,speed,ridge,16793,7198,,,,,,0.5004566890544395,0.7143047159647982,2.930971972660097,3.6640913689541783,,,,,,,,,,
sorted,counts,0.25,0.025,200,speed,random_forest_regressor,16793,7198,,,,,,0.436352813457878,0.6733955949784547,3.1005046839777677,3.8920946454219365,,,,,,,,,,
sorted,counts,0.25,0.025,200,acceleration,ridge,16793,7198,,,,,,0.00028626426363453916,0.0857875381730457,34.95442498115041,56.7311898046032,,,,,,,,,,
