spike_source,feature_type,decode_window_s,update_dt_s,n_units,target_name,decoder_name,n_train_samples,n_test_samples,mean_position_error_cm,median_position_error_cm,p90_position_error_cm,r2_x,r2_y,r2,correlation,mae,rmse,mean_circular_error_deg,median_circular_error_deg,p90_circular_error_deg,mae_cm,rmse_cm,accuracy,balanced_accuracy,macro_f1,confusion_matrix,class_labels
ground_truth,counts,0.05,0.025,200,wall_distance_bin,logistic_regression,16799,7200,,,,,,,,,,,,,,,0.8213888888888888,0.8135848006557388,0.7667919135359611,"[[329, 60, 1], [171, 1351, 272], [9, 773, 4234]]","['center', 'middle', 'near_wall']"
ground_truth,counts,0.05,0.025,200,wall_distance_bin,random_forest_classifier,16799,7200,,,,,,,,,,,,,,,0.8197222222222222,0.7968130521906266,0.7326532639826705,"[[364, 26, 0], [293, 986, 515], [7, 457, 4552]]","['center', 'middle', 'near_wall']"
ground_truth,counts,0.1,0.025,200,position,ridge,16798,7199,13.120075934740981,11.446926669564448,23.951852126456487,0.8871961865273768,0.8937168902443003,,,,,,,,,,,,,,
ground_truth,counts,0.1,0.025,200,position,random_forest_regressor,16798,7199,8.698140897192037,6.788124056756153,16.50806046993914,0.9268486011536473,0.9535489316610356,,,,,,,,,,,,,,
ground_truth,counts,0.1,0.025,200,speed,ridge,16798,7199,,,,,,0.6921937126646522,0.8328284890260285,2.2702125283587793,2.876912071842685,,,,,,,,,,
ground_truth,counts,0.1,0.025,200,speed,random_forest_regressor,16798,7199,,,,,,0.5906239780113185,0.7917388594229272,2.609911712505976,3.317791162920665,,,,,,,,,,
ground_truth,counts,0.1,0.025,200,acceleration,ridge,16798,7199,,,,,,0.0013602701869611655,0.09902679172334075,35.34539023129076,56.69735767516511,,,,,,,,,,
ground_truth,counts,0.1,0.025,200,acceleration,random_forest_regressor,16798,7199,,,,,,0.008093619907704297,0.09420485889844646,33.35914687114424,56.50589281741329,,,,,,,,,,
ground_truth,counts,0.1,0.025,200,head_direction,ridge,16798,7199,,,,,,,,,,12.277197782523743,10.127786477569558,25.76141210712142,,,,,,,
ground_truth,counts,0.1,0.025,200,head_direction,random_forest_regressor,16798,7199,,,,,,,,,,15.905279677858134,12.846905826762454,32.97978785195924,,,,,,,
ground_truth,counts,0.1,0.025,200,distance_to_wall,ridge,16798,7199,,,,,,0.7730609757613688,0.8835314536048209,,,,,,3.666693116083596,4.693729612899404,,,,,
ground_truth,counts,0.1,0.025,200,distance_to_wall,random_forest_regressor,16798,7199,,,,,,0.8226955562348105,0.9081729446829901,,,,,,2.9748768021385006,4.1488075199519034,,,,,
ground_truth,counts,0.1,0.025,200,spatial_context,logistic_regression,16798,7199,,,,,,,,,,,,,,,0.8276149465203501,0.8356813463237925,0.8252258269961713,"[[1198, 9, 127], [139, 3084, 487], [110, 369, 1676]]","['center', 'corner', 'wall']"
ground_truth,counts,0.1,0.025,200,spatial_context,random_forest_classifier,16798,7199,,,,,,,,,,,,,,,0.8488678983192111,0.8435701389960175,0.8415692119956453,"[[1146, 23, 165], [126, 3251, 333], [74, 367, 1714]]","['center', 'corner', 'wall']"
ground_truth,counts,0.1,0.025,200,movement_state,logistic_regression,16798,7199,,,,,,,,,,,,,,,0.7141269620780664,0.7057129757101986,0.6232523833396523,"[[2400, 630, 5], [803, 2543, 522], [0, 98, 198]]","['fast', 'slow', 'still']"
ground_truth,counts,0.1,0.025,200,movement_state,random_forest_classifier,16798,7199,,,,,,,,,,,,,,,0.72315599388804,0.7160434796815934,0.6412074602817147,"[[2512, 522, 1], [954, 2494, 420], [0, 96, 200]]","['fast', 'slow', 'still']"
ground_truth,counts,0.1,0.025,200,wall_distance_bin,logistic_regression,16798,7199,,,,,,,,,,,,,,,0.881372412835116,0.8588290498256254,0.827745941625787,"[[330, 60, 0], [130, 1483, 181], [2, 481, 4532]]","['center', 'middle', 'near_wall']"
ground_truth,counts,0.1,0.025,200,wall_distance_bin,random_forest_classifier,16798,7199,,,,,,,,,,,,,,,0.8812335046534241,0.8431164699880292,0.8269452575233348,"[[348, 42, 0], [126, 1233, 435], [0, 252, 4763]]","['center', 'middle', 'near_wall']"
